Channel name,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-19,2019-20,2020-21,2021-22
Geo News,44624235,137072659,178012852,179491041,88811048,60990169,25693187,43874920,80031955
Dunya News,37453549,99817487,157149742,188115189,82753562,56623092,38698024,49065051,72224693
Express News,42466185,98044707,131136202,162238553,66483592,51321177,31229520,45418961,80683026
Abb Tak Tv,15641257,89300225,147385241,159307405,47272142,16854419,9064849,19139767,30834047
Capital Tv,19565124,75075360,134761550,127833160,46320080,11325562,7402058,17063598,22851433
Dawn News,41408692,48856241,66371369,65890300,47463955,27818084,25161380,39059539,68011883
PTV News,6211236,13282089,72384006,78288506,44287833,37619609,37774758,36271561,82556626
Samma Tv,26423015,45404514,12975033,65436904,34370927,40637164,34929918,40514777,70954450
Aaj Tv,17304688,38087014,45242852,60849654,32365285,38984072,27069745,38365705,44636993
ARY News,26854675,13000155,38059805,761338,6381392,57386052,32984270,54909299,73435933
92 HD News,1795500,20169680,85340470,29951974,0,37117908,27720015,47178276,48971907
Roze TV,10605844,63756248,50087707,62421825,24304513,3692063,6733873,13285384,16205200
News One,2422490,18601872,35365995,61675283,34347480,6146595,9406802,21322528,20072001
ATV,11077718,7825243,36952275,52256174,12803420,920266,9186562,26446840,48316986
Neo News,730800,5902400,46384582,51545760,12240725,9439573,5194843,14898266,16336666
Waqt News,16234257,26879922,54268764,37437935,26346014,0,0,0,0
Khyber News,4910222,20493412,42828165,33831980,13353340,3016580,7429601,8225850,22345900
Hum TV,4791150,0,0,8922480,22380027,23522514,13308543,19392222,57244642
KTN News,11038812,16632856,32611770,28183330,13134555,162085,4754912,8263913,14626150
FM Radio Channels,0,6549820,39674842,63771572,10500482,0,0,0,0
Channel 5,5123518,26262599,30820130,26899951,9469950,3341661,2184085,5518418,7420800
Chennel-24,1218000,6249251,40080640,27216724,1536032,3001111,9313739,7937250,9142734
Sindh TV,2477363,658350,31014270,29100325,10093160,612170,5373449,5951934,17588500
Kay-2 TV,487200,1577980,21544149,50715518,6078333,484764,2053328,2164834,12102667
City 42,7530810,16384956,21584990,22894340,7787080,1242360,4292000,4312300,10850350
Business Plus,4247431,14759614,37204016,32720506,5076682,0,0,0,0
Bol TV,0,0,0,0,0,15245962,18664184,36152020,17512133
Public TV,0,0,0,0,0,14119303,5926440,19749482,38235392
Waseb TV,359100,4072688,18858736,22443128,10992640,1566840,1382414,2814782,9190650
Such TV,1837352,4287110,16671844,20644835,6145274,225200,1820620,5237083,7591233
VSH TV,5468412,7173735,10295251,18921925,7122302,0,2031881,0,12770150
GNN,0,0,0,0,0,9029408,7486017,17862946,27034573
Royal News,1543143,7973136,12213493,33958670,1527236,257520,0,0,277434
Din News,1753920,5556110,9122145,11686304,19317480,945690,1555851,2094234,3000533
Mashri Tv,0,0,0,22913870,10098550,425500,3549471,4021391,10129700
Metro 1,426300,10648207,10682752,10702233,759360,0,548342,715666,6399333
Lahore Tv,0,0,0,0,27802880,472120,2321835,2788833,7076000
Mehran TV,1697255,0,1279460,23132000,4912110,0,94166,3251867,771883
Apna Channel,239400,857850,11879784,17421209,3769115,0,476248,254249,119867
7 -News,0,0,0,27111976,5846276,0,844383,260998,274533
Awaz Tv,711690,460160,2766400,23726045,1154860,0,0,254250,2270700
Koh-i-Noor TV,487200,0,14382158,12598424,3427316,0,0,0,0
Jaag TV,1376573,7672527,885858,16156508,3509074,0,0,0,0
Express Ent.,0,0,0,0,28462628,0,0,0,0
K-21,0,0,0,14956935,0,296154,1699379,846141,5593134
PNN,0,0,0,0,0,0,0,4309402,12314916
GTV,0,0,0,0,0,0,1205333,6066501,8428367
Star Asia,0,0,0,8834368,1386199,0,197200,1413267,3516733
PTV Sports,0,0,0,0,0,0,0,0,14567499
Hum Pashto Tv,0,5476661,0,0,0,429198,438672,661568,7174602
Geo Ent.,0,0,0,0,14107959,0,0,0,0
Times News,0,0,0,0,0,0,0,254250,8653600
Punjab Tv,121800,290967,4978400,0,2096990,515040,0,96667,670383
PTV Home,0,485706,3109518,4174453,629467,0,0,0,0
Dharti Tv,0,0,0,0,8204793,0,0,0,0
Arooj Tv,0,406000,0,0,7677460,0,0,0,0
8 XM,0,0,0,0,7797940,0,0,0,0
Aap News,0,0,0,0,0,4810829,1978573,0,0
Alite Tv,0,4919749,0,0,0,0,0,0,0
Discover Pakistan,0,0,0,0,0,0,0,0,2961867
Geo Kahani,2574040,0,0,0,0,0,0,0,0
TV One,1750613,0,0,0,0,0,0,0,0
PTV Bolan,0,0,0,0,0,0,0,0,1357200
Value News,1259412,0,0,0,0,0,0,0,0
Rohi Tv,0,0,0,0,162400,0,0,0,725000
Venus TV,0,0,0,0,0,162400,0,0,582900
Geo Tez,742980,0,0,0,0,0,0,0,0
CNBC,573300,0,0,0,0,0,0,0,0